"SAID","sample_address","zipcode","soil_remediation_status","soil_remediation_date","soil_sample_date","high_lead_result"
86664,"3873 DEWEY AV",68105,"Ineligible",NA,2015-07-09,289
16910,"2434 S 19 ST",68108,"Remediated",2010-06-15,2004-07-14,579.89
66620,"3530 S 52 ST",68106,NA,NA,NA,NA
57734,"1948 S 50 ST",68106,NA,NA,NA,NA
38478,"5921 N 30 ST",68111,"Ineligible",NA,2005-12-01,205.87
78793,"5406 N 69 ST",68104,NA,NA,NA,NA
36640,"2706 FORT ST",68111,"Ineligible",NA,2008-06-12,299
46020,"6006 S 35 ST",68107,"Ineligible",NA,2004-01-12,64.9
52127,"1103 N 49 AV",68132,"Ineligible",NA,2006-05-11,80.72
73419,"6002 PATTERSON ST",68117,NA,NA,NA,NA
58505,"3916 N 53 ST",68104,NA,NA,NA,NA
17091,"2510 S 10 ST",68108,"Remediated",2008-11-07,2008-08-26,1196
79238,"5019 S 49 ST",68117,NA,NA,NA,NA
61550,"6795 SEWARD ST",68104,NA,NA,NA,NA
12955,"3535 S 44 AV",68105,"Ineligible",NA,2003-10-30,56.29
72405,"5256 S 49 AV",68117,NA,NA,NA,NA
30833,"3234 BEDFORD AV",68111,"Ineligible",NA,2005-09-12,199.28
43061,"9510 N 31 ST",68112,NA,NA,NA,NA
24945,"1110 N 31 AV",68131,"Remediated",2006-05-26,2004-08-30,1511.8
80326,"6735 CURTIS AV",68104,NA,NA,NA,NA
67300,"5918 PIERCE ST",68106,NA,NA,NA,NA
10248,"4504 S 38 ST",68107,"Ineligible",NA,2003-07-01,251.2
28868,"3916 MIAMI ST",68111,NA,NA,NA,NA
80840,"4707 B ST",68106,NA,NA,NA,NA
41276,"7019 N 24 ST",68112,"Ineligible",NA,2009-06-29,176
15142,"2825 S 33 ST",68105,"Eligible",NA,2003-10-22,772
22371,"2406 LEAVENWORTH ST",68105,NA,NA,NA,NA
73416,"3547 N 48 ST",68104,NA,NA,NA,NA
48521,"5009 S 18 ST",68107,"Ineligible",NA,2014-06-30,259
51505,"4921 DAVENPORT ST",68132,"Remediated",2010-10-19,2005-01-14,603.32
51300,"303 S 51 AV",68132,"Ineligible",NA,2005-08-10,367.98
82294,"3214 S 59 ST",68106,NA,NA,NA,NA
18047,"2117 S 35 AV",68105,"Remediated",2008-10-16,2003-10-15,401
